id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,purpose,addr_state,Country
272081,15000, 36 months,9.17%,478.19,B,B2,Machinist,5 years,RENT,75000,debt_consolidation,Massachusetts,United States
65383,10000, 60 months,12.59%,225.44,C,C2,Driver,2 years,MORTGAGE,42000,debt_consolidation,Arizona,United States
285835,6000, 36 months,7.89%,187.72,A,A5,Tool & Die Maker / Special Projects Faci,9 years,MORTGAGE,95000,home_improvement,PA,United States
354777,6000, 36 months,9.17%,191.28,B,B2,sales,1 year,MORTGAGE,40000,debt_consolidation,WI,United States
76669,6000, 36 months,12.59%,200.99,C,C2,Estimator,2 years,RENT,44000,debt_consolidation,California,United States
37354,12000, 60 months,8.38%,245.51,B,B1,Preventative Maintenance Technician,2 years,MORTGAGE,50000,debt_consolidation,WI,United States
183619,3500, 36 months,9.17%,111.58,B,B2,Technician,1 year,RENT,23000,credit_card,IL,United States
209441,15500, 36 months,6.24%,473.23,A,A2,fullfieldment,7 years,MORTGAGE,56000,debt_consolidation,California,United States
48358,35000, 36 months,8.18%,1099.69,B,B1,physician assistant,3 years,OWN,125000,credit_card,NY,United States
245978,13200, 60 months,12.29%,295.57,C,C1,Mgmt Analyst,10+ years,RENT,92000,debt_consolidation,Maryland,United States
85251,14000, 60 months,13.99%,325.69,C,C4,Teacher,10+ years,MORTGAGE,68000,debt_consolidation,NJ,United States
412801,7350, 36 months,15.99%,258.37,D,D2,manager,10+ years,RENT,30000,debt_consolidation,KS,United States
389408,3000, 36 months,14.99%,103.99,C,C5,Stocker,3 years,MORTGAGE,40000,other,California,United States
374240,27000, 60 months,9.99%,573.54,B,B3,Regional Sales Manager,2 years,MORTGAGE,126000,credit_card,NC,United States
14986,7275, 36 months,11.22%,238.94,B,B5,Cashier/ Lunch room Monitor,5 years,OWN,30000,credit_card,TN,United States
188970,24000, 60 months,9.17%,500.19,B,B2,"Director, Center for Applied Research",10+ years,MORTGAGE,150000,credit_card,Maryland,United States
370142,21875, 36 months,16.55%,775.02,D,D2,owner driver,8 years,RENT,75000,debt_consolidation,IL,United States
263507,35000, 60 months,17.86%,886.11,D,D5,Owner,10+ years,MORTGAGE,135000,other,California,United States
31339,3000, 36 months,12.59%,100.5,C,C2,Para educator ,4 years,RENT,19200,debt_consolidation,California,United States
237551,12000, 60 months,9.17%,250.1,B,B2,Portfolio Specialist,< 1 year,RENT,97000,credit_card,TX,United States
398296,5000, 36 months,9.49%,160.15,B,B2,Retail,3 years,RENT,28000,debt_consolidation,MI,United States
123656,10000, 36 months,6.24%,305.31,A,A2,Loan Officer,< 1 year,RENT,62000,debt_consolidation,OR,United States
378515,7000, 36 months,8.19%,219.97,A,A5,Principal Solutions Engineer,3 years,RENT,132000,moving,California,United States
253397,10000, 36 months,12.69%,335.45,C,C2,Paramedic and Hazardous Materials Techni,4 years,RENT,50000,credit_card,NY,United States
383994,19150, 36 months,16.49%,677.9,D,D3,Insurance collector,3 years,MORTGAGE,69400,debt_consolidation,IL,United States
164807,13200, 36 months,9.17%,420.81,B,B2,BOOKEEPER/ADMIN,4 years,OWN,41600,debt_consolidation,NV,United States
352804,12000, 36 months,6.39%,367.19,A,A2,Sorter,7 years,RENT,26300,credit_card,Kentucky,United States
101099,11225, 36 months,9.17%,357.85,B,B2,Administrative Assistant,10+ years,MORTGAGE,30000,debt_consolidation,IN,United States
351464,13500, 36 months,17.57%,485.16,D,D4,Medical Laboratory Technician II,2 years,OWN,54000,moving,NJ,United States
372420,19425, 60 months,19.52%,509.47,E,E3,Weapons Director,10+ years,RENT,54000,medical,KS,United States
11664,25000, 36 months,11.99%,830.24,C,C1,Bottler,10+ years,RENT,100000,debt_consolidation,California,United States
307220,14375, 60 months,22.99%,405.16,F,F1,Receiving,10+ years,OWN,40000,debt_consolidation,WA,United States
377665,18000, 36 months,9.49%,576.51,B,B2,Director of Procurement,5 years,MORTGAGE,120000,car,WV,United States
196106,20000, 36 months,13.33%,677.07,C,C3,Manager,10+ years,RENT,85000,debt_consolidation,NJ,United States
326158,16000, 36 months,13.99%,546.77,C,C4,Foreman,10+ years,MORTGAGE,50000,debt_consolidation,NC,United States
130304,19525, 36 months,17.57%,701.68,D,D4,Helpdesk Analyst,2 years,MORTGAGE,51000,debt_consolidation,KS,United States
69425,3000, 36 months,14.33%,103.02,C,C5,Program Coordinator,10+ years,RENT,48048,debt_consolidation,MI,United States
88384,10425, 36 months,13.33%,352.92,C,C3,Receptionist,< 1 year,RENT,40000,credit_card,MO,United States
119823,13500, 60 months,10.99%,293.46,B,B4,Cpo,10+ years,MORTGAGE,83000,debt_consolidation,VA,United States
97242,21000, 60 months,13.99%,488.53,C,C4,Manager,10+ years,MORTGAGE,78000,debt_consolidation,California,United States
323585,16750, 36 months,14.65%,577.78,C,C5,OFFICE MANAGER,6 years,MORTGAGE,57000,debt_consolidation,California,United States
102723,12075, 36 months,9.17%,384.94,B,B2,University Access Programs Manager,< 1 year,RENT,50004,debt_consolidation,California,United States
406940,35000, 36 months,21.99%,1336.49,E,E5,DM,10+ years,OWN,85000,home_improvement,NY,United States
35189,8500, 36 months,11.99%,282.29,C,C1,merchandise clerk,3 years,RENT,26500,debt_consolidation,NY,United States
395956,15000, 36 months,6.99%,463.09,A,A3,Member Services Specialist,< 1 year,RENT,60000,debt_consolidation,NJ,United States
82159,20000, 36 months,6.89%,616.54,A,A3,caregivers,5 years,OWN,52000,major_purchase,CT,United States
142746,29000, 60 months,13.33%,664.75,C,C3,Implementation Consultant,3 years,MORTGAGE,94000,debt_consolidation,FL,United States
158155,23900, 60 months,12.29%,535.16,C,C1,Dockworker ,10+ years,MORTGAGE,52000,credit_card,PA,United States
283961,2600, 36 months,12.69%,87.22,C,C2,Employee Relations Specialist,2 years,MORTGAGE,80000,credit_card,IL,United States
385199,4200, 36 months,15.99%,147.64,D,D2,Clerck,8 years,OWN,25000,other,NM,United States
293916,20000, 36 months,13.99%,683.46,C,C4,Agent,6 years,OWN,79000,home_improvement,IL,United States
370313,7900, 36 months,12.29%,263.49,C,C1,Campus Life Coordinator/Adjunct Faculty,1 year,RENT,34600,credit_card,CT,United States
73198,21000, 36 months,8.18%,659.81,B,B1,Senior IT Architect,5 years,RENT,165000,debt_consolidation,California,United States
27893,24000, 60 months,10.64%,517.52,B,B4,Associate Systems Analyst,2 years,RENT,52100,credit_card,IN,United States
351195,35000, 60 months,22.99%,986.47,F,F1,Acct. Mgr,10+ years,MORTGAGE,75000,debt_consolidation,VA,United States
8602,21000, 36 months,5.32%,632.42,A,A1,Laboratory Manager,5 years,RENT,149000,debt_consolidation,California,United States
109791,16900, 60 months,13.99%,393.15,C,C4,technician,5 years,OWN,99996,car,CT,United States
135971,10950, 36 months,8.18%,344.05,B,B1,Sr. Merchandise manager,10+ years,RENT,52000,debt_consolidation,MI,United States
361288,18075, 60 months,14.65%,426.69,C,C5,Investigator,9 years,MORTGAGE,47222,debt_consolidation,California,United States
357986,35000, 36 months,12.69%,1174.07,C,C2,Lead Mechanical Engineer,8 years,MORTGAGE,120000,debt_consolidation,TX,United States
313427,9025, 36 months,17.86%,325.65,D,D5,med tech,7 years,OWN,55000,debt_consolidation,Maryland,United States
281533,8000, 36 months,9.99%,258.1,B,B3,Assistant Professor,3 years,RENT,63000,debt_consolidation,NY,United States
371221,7600, 36 months,12.29%,253.49,C,C1,medical biller,7 years,RENT,30000,credit_card,OH,United States
73591,34000, 36 months,7.26%,1053.87,A,A4,V-P Sales,10+ years,MORTGAGE,108000,debt_consolidation,California,United States
83322,16000, 60 months,8.18%,325.81,B,B1,Engineering Manager,7 years,MORTGAGE,116000,credit_card,LA,United States
11801,7000, 36 months,9.17%,223.16,B,B2,0,n/a,OWN,23000,credit_card,MS,United States
367028,20000, 60 months,13.99%,465.27,C,C4,Maintenance Mechanic,10+ years,RENT,65146,debt_consolidation,NC,United States
